Category,Complaint,Age,Level,Gender,Frequency of Complaint,Resolution of Complaint,Impact
Academic, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,20,300,Female,First time,Yes,Only me
Academic, I am concerned about the lack of academic rigor in this course. We,19,200,Male,First time,No,Only me
Academic,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,17,200,Male,Ongoing Issue,No,My class/group
Academic,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,20,200,Female,Ongoing Issue,Yes,Only me
Academic,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,20,300,Female,First time,Yes,Only me
Academic,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,20,200,Female,First time,Yes,Only me
Academic,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,18,300,Female,First time,No,Entire department
Academic,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,20,200,Female,First time,Yes,Only me
Academic,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",19,300,Male,2-3  times,Yes,Only me
Academic,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,17,200,Female,First time,No,Only me
Academic,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,18,300,Male,First time,No,Only me
Academic,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,20,200,Male,First time,Yes,Only me
Academic,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,17,200,Female,First time,Yes,Only me
Academic,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,20,200,Female,Ongoing Issue,Yes,Only me
Academic,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,19,300,Female,Ongoing Issue,No,My class/group
Academic,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,19,200,Female,First time,Yes,Only me
Academic,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,17,300,Female,First time,Yes,Only me
Academic,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,17,200,Male,First time,No,Only me
Academic,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,20,300,Female,First time,No,Entire department
Academic,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,18,200,Male,2-3  times,Yes,Only me
Academic,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,18,300,Male,First time,Yes,Only me
Academic,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,18,200,Female,First time,Yes,Only me
Academic,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,19,200,Female,First time,No,Only me
Academic,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,17,200,Female,First time,Yes,Only me
Academic,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,19,300,Female,Ongoing Issue,Yes,Only me
Academic,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,17,200,Female,Ongoing Issue,No,Only me
Academic,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,17,300,Male,First time,No,My class/group
Academic,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,19,200,Female,First time,Yes,Only me
Academic,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,17,300,Male,First time,Yes,Only me
Academic,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,19,200,Male,First time,Yes,Only me
Academic,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,18,300,Female,2-3  times,No,Entire department
Academic,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,17,200,Female,First time,Yes,Only me
Academic,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,17,200,Female,First time,Yes,Only me
Academic,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,18,200,Female,First time,No,Only me
Academic,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,18,300,Female,First time,No,Only me
Academic,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,18,200,Male,Ongoing Issue,Yes,Only me
Academic,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,19,300,Female,Ongoing Issue,Yes,Only me
Academic,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,17,200,Male,First time,Yes,Only me
Academic,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,20,300,Male,First time,No,My class/group
Academic,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,17,200,Female,First time,Yes,Only me
Academic,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,17,300,Female,First time,Yes,Only me
Academic,It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,19,200,Female,2-3  times,No,Only me
Academic,The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,18,200,Female,First time,No,Entire department
Academic,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,19,200,Female,First time,Yes,Only me
Academic,Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,18,300,Male,First time,Yes,Only me
Academic,The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,20,200,Female,First time,Yes,Only me
Academic,"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",20,300,Male,Ongoing Issue,No,Only me
Academic,The difficulty in finding and accessing course materials is causing a lot of stress for students.,19,200,Male,Ongoing Issue,Yes,Only me
Academic,It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,17,300,Female,First time,Yes,Only me
Academic,Limited course availability is making it difficult to schedule my classes for next semester.,18,200,Female,First time,No,Only me
Academic,The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,17,300,Female,First time,No,My class/group
Academic,"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",18,200,Female,First time,Yes,Only me
Academic,Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,18,200,Female,2-3  times,Yes,Only me
Academic,I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,17,200,Male,First time,Yes,Only me
Academic,Limited course availability is making it impossible to complete my degree requirements on time.,19,300,Female,First time,No,Entire department
Academic,I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,19,200,Male,First time,Yes,Only me
Academic,"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",17,300,Male,First time,Yes,Only me
Academic,Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,20,200,Female,Ongoing Issue,No,Only me
Academic,I'm struggling to find the necessary course materials for my courses due to the limited access available.,20,300,Female,Ongoing Issue,No,Only me
Academic,The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,19,200,Female,First time,Yes,Only me
Academic,Limited course availability is causing me to have to adjust my academic plans and career aspirations.,19,300,Female,First time,Yes,Only me
Academic,Limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments.,18,200,Female,First time,Yes,Only me
Academic,I'm worried about the quality of my research projects due to the limited access to research databases and materials.,17,200,Male,First time,No,My class/group
Academic,The difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments.,20,200,Female,2-3  times,Yes,Only me
Academic,Limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals.,20,300,Male,First time,Yes,Only me
Academic,Limited course availability is causing me to miss out on valuable academic opportunities and experiences.,17,200,Male,First time,No,Only me
Academic,The limited access to technology and software is causing me to have to use outdated tools and resources for my coursework.,19,300,Female,First time,No,Entire department
Academic,I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,19,200,Female,First time,Yes,Only me
Academic,The difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework.,17,300,Female,Ongoing Issue,Yes,Only me
Academic,Limited access to academic advisors is causing me to feel lost and unsupported in my academic journey.,18,200,Female,Ongoing Issue,Yes,Only me
Academic,I'm concerned that my academic achievements and career prospects will be impacted by the limited course availability.,19,300,Female,First time,No,Only me
Academic,The limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce.,20,200,Male,First time,Yes,Only me
Academic,The limited access to research databases and materials is making it difficult to produce high-quality research projects and assignments.,18,200,Female,First time,Yes,Only me
Academic,I'm struggling to keep up with my coursework due to the difficulty in finding and accessing course materials.,17,200,Male,First time,No,Only me
Academic,Limited access to academic advisors is causing me to feel like I'm not receiving the guidance I need to succeed academically.,17,300,Male,2-3  times,No,My class/group
Academic,Limited course availability is causing me to have to change my academic plans and goals.,20,200,Female,First time,Yes,Only me
Academic,The limited access to technology and software is causing me to feel like I'm not developing the skills I need to succeed in my future career.,18,300,Female,First time,Yes,Only me
Academic,The limited access to research databases and materials is causing me to feel like I'm not able to fully explore my academic interests.,20,200,Female,First time,Yes,Only me
Academic,The difficulty in finding and accessing course materials is causing me to waste time and money trying to complete assignments.,20,300,Female,First time,No,Entire department
Academic,Limited access to academic advisors is causing me to feel like I'm not receiving the academic support I need.,20,200,Female,Ongoing Issue,Yes,Only me
Academic,Limited course availability is causing me to feel like I'm not able to fully engage with my academic studies.,18,300,Male,Ongoing Issue,Yes,Only me
Academic,"As a student in a remote area, I'm struggling to access the required course materials due to limited availability online.",19,200,Female,First time,No,Only me
Academic,It's frustrating when you can't access research databases and materials you need for your assignments because they're only available in the library and you can't visit it.,19,200,Male,First time,No,Only me
Academic,The limited access to technology and software is hindering my ability to complete my coursework to the best of my ability.,20,200,Male,First time,Yes,Only me
Academic,I am paying a significant amount for tuition and it's disappointing that I can't access all the resources I need for my studies.,18,300,Female,First time,Yes,Only me
Academic,The limited course availability makes it difficult for me to plan my academic schedule and complete my degree in a timely manner.,17,200,Female,2-3  times,Yes,Only me
Academic,I wish there were more academic advisors available to guide me through my degree program and answer my questions.,19,300,Female,First time,No,My class/group
Academic,Limited access to academic resources has made it difficult for me to achieve the grades I am capable of.,18,200,Female,First time,Yes,Only me
Academic,I am struggling to find and access course materials needed for my classes due to limited availability in the library and online.,19,300,Female,First time,Yes,Only me
Academic,The lack of access to research databases and materials is hindering my ability to conduct thorough research for my papers.,19,200,Male,First time,No,Only me
Academic,"It's frustrating to not have access to the latest technology and software, especially when it's required for certain classes.",20,300,Female,Ongoing Issue,No,Entire department
Academic,The limited access to academic resources is preventing me from fully engaging in my studies and reaching my full potential.,19,200,Male,Ongoing Issue,Yes,Only me
Academic,I am finding it difficult to complete my assignments due to the limited access to technology and software I need.,17,200,Male,First time,Yes,Only me
Academic,"Limited access to academic resources is causing unnecessary stress and anxiety, which is negatively affecting my academic performance.",20,200,Female,First time,Yes,Only me
Academic,"It's frustrating to know that there are research databases and materials that could benefit my studies, but I don't have access to them.",19,300,Female,First time,No,Only me
Academic,I wish there were more academic advisors available to guide me through my degree program and help me make the most of my university experience.,18,200,Female,First time,Yes,Only me
Academic,The limited course availability is causing scheduling conflicts and making it difficult to plan out my academic path.,19,300,Female,2-3  times,Yes,Only me
Academic,The limited access to technology and software is preventing me from exploring new fields and expanding my knowledge.,17,200,Female,First time,No,Only me
Academic,I am paying for access to academic resources and it's disappointing that they're not readily available to me.,20,300,Male,First time,No,My class/group
Academic,The limited access to research databases and materials is making it difficult for me to complete my thesis.,17,200,Female,First time,Yes,Only me
Academic,"I wish there were more opportunities to access academic resources, such as extended library hours or online resources.",18,300,Male,First time,Yes,Only me
Academic,The limited access to academic resources is making it difficult to pursue my academic interests and passions.,20,200,Male,Ongoing Issue,Yes,Only me
Academic,I am finding it difficult to complete my assignments on time due to the limited access to technology and software.,19,200,Female,Ongoing Issue,No,Entire department
Academic,Limited access to academic resources is preventing me from making the most of my university experience and achieving my academic goals.,19,200,Female,First time,Yes,Only me
Academic,The limited course availability is preventing me from taking the classes I need to complete my degree.,18,300,Female,First time,Yes,Only me
Academic,I wish there were more academic advisors available to provide guidance and support throughout my university experience.,19,200,Female,First time,No,Only me
Academic,The limited access to technology and software is hindering my ability to prepare for my future career.,18,300,Female,First time,No,Only me
Academic,Limited access to academic resources is creating a disadvantage for me compared to other students who have greater access.,17,200,Male,2-3  times,Yes,Only me
Academic,The limited access to research databases and materials is making it difficult to conduct quality research for my papers.,18,300,Female,First time,Yes,Only me
Academic,"I am struggling to find and access the course materials I need, which is negatively affecting my academic performance.",18,200,Male,First time,Yes,Only me
Academic,Limited access to academic resources is making it difficult for me to fully engage in my studies and take advantage of all that my university has to offer.,19,300,Male,First time,No,My class/group
Academic,"I'm finding the academic workload really overwhelming, and it's been a struggle to keep up with all the assignments.",18,200,Female,First time,Yes,Only me
Academic,"The course material is extremely challenging, and I often feel like I don't fully understand it.",18,200,Female,Ongoing Issue,Yes,Only me
Academic,I've been struggling with my time management skills lately and it's been affecting my grades. I really need to get better at prioritizing my tasks.,20,200,Female,Ongoing Issue,No,Only me
Academic,"Balancing work and academic responsibilities has been a real challenge for me, and I often feel like I'm being pulled in two different directions.",18,300,Female,First time,No,Entire department
Academic,"I'm finding it difficult to balance my extracurricular activities with my academic work, and I'm often left feeling stressed and overwhelmed.",19,200,Female,First time,Yes,Only me
Academic,"Lack of sleep and fatigue has been a real issue for me lately, and it's been affecting my ability to focus and stay motivated.",17,300,Male,First time,Yes,Only me
Academic,"I've been dealing with a lot of stress and anxiety lately, and it's been really tough to stay on top of my schoolwork.",18,200,Female,First time,Yes,Only me
Academic,"Mental health concerns have been a major factor in my academic performance, and I really need to prioritize self-care in order to succeed.",20,300,Male,2-3  times,No,Only me
Academic,"I'm struggling to keep up with the academic workload, and it's been causing me a lot of stress and anxiety.",19,200,Male,First time,Yes,Only me
Academic,"The course material is really challenging, and I often feel like I'm in over my head.",17,300,Female,First time,Yes,Only me
Academic,"I'm not very good at managing my time, and I often find myself struggling to balance my academic work with my other commitments.",18,200,Female,First time,No,Only me
Academic,"Balancing work and academic responsibilities has been a real struggle for me, and it's been affecting my grades.",17,200,Female,First time,No,My class/group
Academic,"I often have conflicts with my other commitments, and it's been difficult to find time to focus on my schoolwork.",19,200,Female,Ongoing Issue,Yes,Only me
Academic,"I've been feeling really tired and burnt out lately, and it's been hard to stay motivated to study.",19,300,Female,Ongoing Issue,Yes,Only me
Academic,"The stress and anxiety of college life has been getting to me, and I'm having trouble focusing on my coursework.",18,200,Male,First time,Yes,Only me
Academic,"My mental health has been a major factor in my academic performance, and I need to prioritize self-care in order to succeed.",19,300,Female,First time,No,Entire department
Academic,"I'm feeling really overwhelmed by the academic workload, and I'm struggling to keep up with everything.",18,200,Male,First time,Yes,Only me
Academic,"The course material is really difficult, and I often feel like I don't fully understand it.",20,300,Male,First time,Yes,Only me
Academic,"I'm not very good at managing my time, and it's been affecting my grades.",17,200,Female,2-3  times,No,Only me
Academic,"Balancing work and academic responsibilities has been really challenging for me, and it's been causing me a lot of stress.",19,300,Female,First time,No,Only me
Academic,"I often have conflicts with my other commitments, and it's been tough to find time to focus on my schoolwork.",19,200,Female,First time,Yes,Only me
Academic,"I've been feeling really exhausted lately, and it's been hard to stay motivated to study.",20,200,Female,First time,Yes,Only me
Academic,"The stress and anxiety of college life has been really overwhelming, and it's been affecting my mental health.",19,200,Female,First time,Yes,Only me
Academic,"I'm dealing with some mental health issues that have been affecting my academic performance, and I need to seek help.",19,300,Male,Ongoing Issue,No,My class/group
Academic,"The academic workload has been really intense lately, and it's been a struggle to keep up with everything.",19,200,Female,Ongoing Issue,Yes,Only me
Academic,"The course material is really challenging, and I often feel like I'm not smart enough to understand it.",17,300,Male,First time,Yes,Only me
Academic,I need to work on my time management skills because I'm constantly feeling behind in my coursework.,17,200,Male,First time,No,Only me
Academic,"Balancing work and academic responsibilities has been a real struggle, and I'm not sure how to make it work.",20,300,Female,First time,No,Entire department
Academic,"I have a lot of other commitments that often conflict with my schoolwork, and it's been really hard to juggle everything.",19,200,Female,First time,Yes,Only me
Academic,"I've been feeling really run down lately, and it's been tough to stay focused on my studies.",18,300,Female,2-3  times,Yes,Only me
Academic,The stress and anxiety of college life has been really overwhelming,19,200,Female,First time,Yes,Only me
Academic,"The academic workload is becoming overwhelming, especially with the difficulty of course material. It's difficult to manage my time well and balance my work responsibilities with my academic ones. I have a hard time sleeping due to the stress and anxiety this is causing me, and it's starting to affect my mental health.",20,200,Female,First time,No,Only me
Academic,"I find myself struggling with the difficulty of course material and trying to manage my time effectively. Balancing work and academic responsibilities is a challenge, and I'm not getting enough sleep. This is causing me stress and anxiety, which is taking a toll on my mental health.",17,200,Male,First time,Yes,Only me
Academic,"Managing the academic workload and the difficulty of course material is a constant struggle. I need to improve my time management skills to balance work and academic responsibilities, but it's hard when I have time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious.",20,300,Female,First time,Yes,Only me
Academic,"I'm finding it hard to keep up with the academic workload, especially since the course material is challenging. Balancing work and academic responsibilities is tough, and there are often time conflicts with other commitments. I'm not getting enough sleep, and it's starting to affect my mental health. The stress and anxiety are overwhelming.",18,200,Male,Ongoing Issue,No,Only me
Academic,"The academic workload is taking its toll on me, especially since the course material is so difficult. I'm trying to manage my time effectively, but it's challenging to balance work and academic responsibilities. There are always time conflicts with other commitments, and I'm not getting enough sleep. This is causing me stress and anxiety, and it's starting to impact my mental health.",19,300,Male,Ongoing Issue,No,My class/group
Academic,"I'm struggling with the academic workload and the difficulty of the course material. I need to improve my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. I'm not sleeping well, and it's affecting my mental health. I'm feeling stressed and anxious all the time.",17,200,Female,First time,Yes,Only me
Academic,"It's challenging to keep up with the academic workload, especially since the course material is so difficult. I need to work on my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. The lack of sleep is starting to take its toll on my mental health, and I'm feeling stressed and anxious.",18,300,Female,First time,Yes,Only me
Academic,"The academic workload is becoming overwhelming, and the course material is so challenging. I'm struggling to balance work and academic responsibilities and manage my time effectively. There are often time conflicts with other commitments, and I'm not getting enough sleep. This is causing me stress and anxiety, and my mental health is suffering.",18,200,Female,First time,Yes,Only me
Academic,"The academic workload is getting to be too much, and I'm finding the course material increasingly difficult. I need to improve my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious all the time.",19,300,Female,First time,No,Entire department
Academic,"Managing the academic workload is a challenge, especially since the course material is so difficult. I need to balance work and academic responsibilities, but there are often time conflicts with other commitments. The lack of sleep is starting to take its toll on my mental health, and I'm feeling stressed and anxious.",17,200,Female,2-3  times,Yes,Only me
Academic,"The academic workload is overwhelming, and the course material is hard to understand. Balancing work and academic responsibilities is tough, and there are always time conflicts with other commitments. I'm not getting enough sleep, and the stress and anxiety are starting to affect my mental health.",20,200,Male,First time,Yes,Only me
Academic,"It's hard to keep up with the academic workload, and the difficulty of the course material is making it even harder. Balancing work and academic responsibilities is a challenge, and there are often time conflicts with other commitments. The lack of sleep is taking its toll",20,200,Female,First time,No,Only me
Academic,"I have found that the academic workload has been extremely heavy this semester, leaving me feeling overwhelmed and stressed.",20,300,Male,First time,No,Only me
Academic,"The difficulty of the course material is much higher than I anticipated, and I am struggling to keep up.",19,200,Male,First time,Yes,Only me
Academic,I have been struggling with time management skills and finding it difficult to balance my academic responsibilities with work and other commitments.,20,300,Female,Ongoing Issue,Yes,Only me
Academic,"Balancing work and academic responsibilities has been a significant challenge, and I have found it difficult to maintain a healthy work-life balance.",20,200,Female,Ongoing Issue,Yes,Only me
Academic,Time conflicts with other commitments have made it challenging to keep up with coursework and assignments.,20,300,Female,First time,No,My class/group
Academic,I am struggling with lack of sleep and fatigue due to the demands of my academic workload.,18,200,Female,First time,Yes,Only me
Academic,"The stress and anxiety of the academic workload have been affecting my mental health, and I am finding it difficult to cope.",17,300,Female,First time,Yes,Only me
Academic,I am concerned about my mental health and have been experiencing symptoms of depression and anxiety due to the academic workload.,19,200,Male,First time,No,Only me
Academic,"The academic workload is overwhelming, and I am struggling to find ways to manage my stress and maintain my mental health.",18,200,Female,2-3  times,No,Entire department
Academic,"I have been finding it difficult to balance my academic workload with other commitments, such as extracurricular activities and social life.",19,200,Male,First time,Yes,Only me
Academic,"The course material is much more challenging than I expected, and I am struggling to keep up with the pace of the class.",17,300,Male,First time,Yes,Only me
Academic,"I am finding it difficult to manage my time effectively, and it is affecting my ability to keep up with assignments and coursework.",18,200,Female,First time,Yes,Only me
Academic,"Balancing work and academic responsibilities has been a significant challenge, and I am finding it hard to find time for self-care and relaxation.",19,300,Female,First time,No,Only me
Academic,"I am struggling to keep up with my coursework due to time conflicts with other commitments, such as part-time work and family obligations.",20,200,Female,Ongoing Issue,Yes,Only me
Academic,Lack of sleep and fatigue have been affecting my ability to focus on coursework and stay motivated.,17,300,Female,Ongoing Issue,Yes,Only me
Academic,"The academic workload is causing significant stress and anxiety, and I am finding it hard to cope with the pressure.",17,200,Female,First time,No,Only me
Academic,I am concerned about my mental health and have been experiencing symptoms of burnout and exhaustion due to the demands of my academic workload.,17,300,Male,First time,No,My class/group
Academic,I am struggling to find ways to manage my stress and maintain my mental health while balancing my academic responsibilities with other commitments.,20,200,Female,First time,Yes,Only me
Academic,"The course material is much more difficult than I expected, and I am finding it hard to understand and retain the information.",18,200,Male,First time,Yes,Only me
Academic,"I am struggling to manage my time effectively, and it is affecting my ability to keep up with assignments and coursework.",18,200,Male,2-3  times,Yes,Only me
Academic,"Balancing work and academic responsibilities has been challenging, and I am finding it hard to find time for social activities and hobbies.",18,300,Female,First time,No,Entire department
Academic,"Time conflicts with other commitments have been causing significant stress and anxiety, and I am finding it hard to stay motivated.",18,200,Female,First time,Yes,Only me
Academic,"Lack of sleep and fatigue have been affecting my ability to concentrate and retain information, and I am concerned about my academic performance.",17,300,Female,First time,Yes,Only me
Academic,"The academic workload is causing significant stress and anxiety, and I am finding it hard to cope with the pressure.",18,200,Female,First time,No,Only me
Academic,"I am experiencing symptoms of anxiety and depression due to the demands of my academic workload, and I am concerned about my mental health.",18,300,Female,Ongoing Issue,No,Only me
Academic,"The academic workload is overwhelming, and I am finding it difficult to stay motivated and engaged in my studies.",18,200,Male,Ongoing Issue,Yes,Only me
Academic,I have been struggling to find ways to manage my stress and maintain my mental health while balancing my academic responsibilities with other commitments.,18,300,Female,First time,Yes,Only me
Academic,"The course material is much more challenging than I expected, and I am struggling to understand the concepts and complete assignments.",19,200,Male,First time,Yes,Only me
Academic,I am struggling to manage my time effectively and find it hard to balance my academic responsibilities with work and social activities.,18,200,Male,First time,No,My class/group
Academic,"Balancing work and academic responsibilities has been a significant challenge, and I am finding it",18,200,Female,First time,Yes,Only me
Academic,The academic workload this semester is overwhelming. I'm having trouble keeping up with all the assignments and readings.,19,300,Female,2-3  times,Yes,Only me
Academic,I find the course material for my math class to be extremely difficult. I've been attending extra study sessions but still feel lost.,17,200,Female,First time,No,Only me
Academic,Balancing my part-time job with my coursework has been a major struggle. I'm constantly exhausted and feel like I don't have enough time to focus on school.,19,300,Female,First time,No,Entire department
Academic,I have a time conflict with one of my classes and it's causing a lot of stress. I'm trying to work with my advisor to figure out a solution but it's proving to be difficult.,19,200,Female,First time,Yes,Only me
Academic,I'm not getting enough sleep and it's starting to affect my academic performance. I've tried adjusting my schedule but still can't seem to get enough rest.,19,300,Male,First time,Yes,Only me
Academic,"I'm feeling really overwhelmed with the amount of coursework I have to do, and it's causing a lot of stress and anxiety.",18,200,Female,Ongoing Issue,Yes,Only me
Academic,I've been experiencing mental health issues and it's making it hard to focus on school. I'm trying to seek help but it's been a slow process.,20,300,Male,Ongoing Issue,No,Only me
